id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,line,opening_year,operator,municipality,etymology_summary_es,named_after_es
cercanias_001,Recoletos,cercanias_station,,Salamanca,,40.422496,-3.691704,religious,"Named after the Convento de Recoletos de San Agustín, a convent of Augustinian Recollects (reformed Augustinians) founded in 1592. The monastery's extensive gardens gave the area its green, promenade character that survives in the Paseo de Recoletos and its extension, the Paseo de la Castellana. The convent was demolished during the 1836 Desamortizacion (ecclesiastical property confiscation), but its memory lives on in the street names. The Paseo de Recoletos is home to the BNE (National Library), the Archaeological Museum, and some of Madrid's grandest 19th-century palaces.",Convento de Recoletos de San Agustín,,,,,,,,,Renfe Blog (blog.renfe.com);Wikipedia (es.wikipedia.org),verified,C-2;C-7;C-8;C-10,,Renfe Cercanias,Madrid,"Debe su nombre al Convento de Recoletos de San Agustín, fundado en 1592 por agustinos recoletos (rama reformada de la orden). Los extensos jardines del monasterio confirieron al entorno ese carácter verde y arbolado que pervive en el Paseo de Recoletos y su prolongación, el Paseo de la Castellana. El convento fue demolido durante la Desamortización de 1836, pero su recuerdo se conserva en los nombres de las calles. El Paseo de Recoletos alberga la BNE (Biblioteca Nacional), el Museo Arqueológico Nacional y algunos de los palacios decimonónicos más espléndidos de Madrid.",Convento de Recoletos de San Agustín
cercanias_004,Chamartín-Clara Campoamor,cercanias_station,,Chamartín,,40.4726,-3.6822,person,"Chamartín: from Basque origin, per Menéndez Pidal (1951). The documented medieval form 'Echamartin' (1247) contains the Castilian evolution of Basque 'aita' (father/chief), appearing in documents as 'ecta/echa'. Thus: Echa-Martín > Chamartín = 'the estate of chief Martín'. Same pattern as Chaherrero (Avila) and Robledo de Chavela. Clara Campoamor (1888-1972): feminist politician who achieved women's suffrage in Spain in 1931.",Clara Campoamor,Q3321142,F,1888,1972,politician; feminist,Spanish,,,Toponomasticon Hispaniae (toponhisp.org/es/toponimia-de-las-zonas-central-sur-e-insular-atlántica/toponimo/chamartin); Menéndez Pidal 1951; documented form 'Echamartin' 1247;CVC Rinconete (cvc.cervantes.es/el_rinconete);Wikipedia (es.wikipedia.org),verified,C-1;C-2;C-3;C-4;C-7;C-8;C-10,,Renfe Cercanias,Madrid,"Chamartín: de origen vasco, según Menéndez Pidal (1951). La forma medieval documentada 'Echamartín' (1247) contiene la evolución castellana del vasco 'aita' (padre/jefe), que aparece en los documentos como 'ecta/echa'. Así: Echa-Martín > Chamartín = 'la propiedad del jefe Martín'. El mismo patrón se repite en Chaherrero (Ávila) y Robledo de Chavela. Clara Campoamor (1888-1972): política feminista que logró el sufragio femenino en España en 1931.",Clara Campoamor
cercanias_006,Fuente de la Mora,station,,Hortaleza,Valdefuentes,40.484962,-3.663114,descriptive,"Named after the old Camino Fuente de la Mora road. 'Fuente' means spring/fountain; 'Mora' is debated -- it may derive from pre-Roman root 'mor-' meaning heap of stones (per García Sánchez, CVC 2008, discussing Valdemoro), suggesting 'spring among the rocks'. The site has yielded remarkable archaeological finds: a Carpetano settlement from the 3rd-2nd century BC was excavated nearby, documented by the Comunidad de Madrid as a significant Iron Age site. Originally planned as 'Manoteras', the station serves both Cercanias C-1 and Metro Ligero ML1.","Fuente de la Mora (spring, from pre-Roman mor-: stones)",,,,,,,,,García Sánchez CVC Rinconete Part IV (cvc.cervantes.es/el_rinconete/anteriores/enero_08/28012008_01.htm); comunidad.madrid/cultura/patrimonio-cultural/yacimiento-arqueologico-fuente-mora,probable,ML1;C-1,,Metro Ligero Madrid; Renfe Cercanias,Madrid,"Toma su nombre del antiguo Camino Fuente de la Mora. 'Fuente' significa manantial; 'Mora' es objeto de debate: podría derivar de la raíz prerromana 'mor-', que significa montón de piedras (según García Sánchez, CVC 2008, a propósito de Valdemoro), y significaría 'manantial entre las rocas'. El lugar ha deparado hallazgos arqueológicos notables: cerca de aquí se excavó un poblado carpetano de los siglos III-II a. C., catalogado por la Comunidad de Madrid como yacimiento significativo de la Edad del Hierro. Aunque estaba previsto llamarla 'Manoteras', la estación da servicio tanto a Cercanías C-1 como al Metro Ligero ML1.","Fuente de la Mora (fuente, del prerromano mor-: piedras)"
cercanias_013,Doce de Octubre,cercanias_station,,Usera,,40.379021,-3.698739,historical,"Named after the Hospital Universitario 12 de Octubre, one of Madrid's largest public hospitals -- but the name hides a political makeover. The complex was inaugurated on 2 October 1973 by Franco as 'Ciudad Sanitaria Primero de Octubre', commemorating 1 October 1936, the date of Franco's proclamation as head of state. After the transition to democracy, the hospital was renamed on 12 October 1988 to '12 de Octubre', swapping a Francoist anniversary for Spain's National Day, the Dia de la Hispanidad (celebrating Columbus's 1492 landfall). The original building had 15 floors, 3 underground levels, and 250 beds that grew to 1250 by 1974. A materno-infantil wing opened in 1980. The Cercanias station followed in 1989 on the C-5 line, serving both the hospital and the surrounding Usera district.",Hospital 12 de Octubre,,,,,,1989,,,es.wikipedia.org/wiki/Hospital_12_de_Octubre; comunidad.madrid/hospital/doce-octubre,verified,C-5,1989,Renfe Cercanias,Madrid,"Toma su nombre del Hospital Universitario 12 de Octubre, uno de los mayores hospitales públicos de Madrid, aunque el nombre esconde un cambio de imagen político. El complejo fue inaugurado el 2 de octubre de 1973 por Franco como 'Ciudad Sanitaria Primero de Octubre', conmemorando el 1 de octubre de 1936, fecha de la proclamación de Franco como jefe del Estado. Tras la Transición, el hospital fue rebautizado el 12 de octubre de 1988 como '12 de Octubre', sustituyendo una efeméride franquista por el Día de la Hispanidad (que conmemora la llegada de Colón en 1492). El edificio original tenía 15 plantas, 3 niveles subterráneos y 250 camas que pasaron a ser 1250 en 1974. En 1980 se inauguró el ala materno-infantil. La estación de Cercanías llegó en 1989 con la línea C-5, dando servicio tanto al hospital como al distrito de Usera.",Hospital 12 de Octubre
cercanias_014,Orcasitas,cercanias_station,,Usera,,40.3659912,-3.7045671,person,"Named after the Orcasitas neighbourhood, which took its name from Pedro Orcasitas Ruiz (b. 1878, Ahedo near Horcasitas de Arcentales, Vizcaya), a hardware store owner ('La Vascongada' near Puerta del Sol) who donated land for worker housing. The surname derives from Basque 'horkatz-sitxa' (parcel of the roe deer).",Pedro Orcasitas Ruiz,,M,1878,,landowner; merchant,Spanish (Basque),,,elrincondemayrit.blogspot.com/2012/10/origen-del-nombre-orcasitas.html; Cronistas de Villaverde (issuu.com/cronistasvillaverde); Isabel Gea; es.wikipedia.org/wiki/Orcasitas,verified,C-5,,Renfe Cercanias,Madrid,"Debe su nombre al barrio de Orcasitas, que a su vez tomó el nombre de Pedro Orcasitas Ruiz (n. 1878, Ahedo, cerca de Horcasitas de Arcentales, Vizcaya), propietario de una ferretería ('La Vascongada', junto a la Puerta del Sol) que donó terrenos para viviendas obreras. El apellido procede del vasco 'horkatz-sitxa' (parcela del corzo).",Pedro Orcasitas Ruiz
cercanias_015,Puente Alcocer,cercanias_station,,Villaverde,,40.350337,-3.70502,descriptive,Named after a bridge in the Villaverde Alto area. 'Alcocer' derives from Arabic al-qusayr (diminutive of al-qasr meaning alcazar/palace) -- literally 'little fortress'. Remarkably the Arabic qasr itself came from Latin castrum (fortified camp) showing three layers of linguistic heritage in one toponym. An Islamic watchtower or small fortification likely stood here guarding a crossing. The station opened in 1989 on a new 9 km underground variant that bypassed the old surface route through Villaverde with four new stations.,"Puente de Alcocer (bridge, possibly Arabic al-qusayr: small palace)",,,,,,1989,,,etimologias.dechile.net/?Alcocer; es.wikipedia.org/wiki/Alcocer; es.wikipedia.org/wiki/Estacion_de_Puente_Alcocer;CRTM (crtm.es),verified,C-5,1989,Renfe Cercanias,Madrid,"Toma su nombre de un puente en la zona de Villaverde Alto. 'Alcocer' procede del árabe al-qusayr (diminutivo de al-qasr, que significa alcázar/palacio): literalmente, 'pequeña fortaleza'. Resulta notable que el árabe qasr proviene a su vez del latín castrum (campamento fortificado), lo que revela tres capas de herencia lingüística en un solo topónimo. Probablemente aquí se alzaba una atalaya o pequeña fortificación islámica que vigilaba un paso. La estación se inauguró en 1989, dentro de una nueva variante subterránea de 9 km que evitaba el antiguo trazado en superficie por Villaverde, con cuatro nuevas estaciones.","Puente de Alcocer (puente, posiblemente del árabe al-qusayr: pequeño palacio)"
cercanias_016,San Cristóbal de los Ángeles,cercanias_station,,Villaverde,,40.342197,-3.683746,religious,"Named after the neighbourhood. 'San Cristóbal' refers to Saint Christopher, patron saint of travellers; 'de los Angeles' references proximity to the Cerro de los Angeles in Getafe, a hill traditionally considered the geographic centre of the Iberian Peninsula (though the claim is disputed by geographers). The station sits on the original Madrid-Aranjuez railway line, inaugurated on 9 February 1851 -- Spain's second after Barcelona-Mataro (1848), but the first to serve the capital. The 49 km line was built by the Compañía del Camino de Hierro de Madrid a Aranjuez, presided over by the financier Marqués de Salamanca, who also gave his name to the Salamanca district. The idea dated back to 1830, when a group of notables petitioned the Crown for a railway to connect the Court with the Real Sitio de Aranjuez.",San Cristóbal de los Ángeles neighbourhood (patron saint + Cerro de los Ángeles),,,,,,,,,es.wikipedia.org/wiki/San_Crist%C3%B3bal_de_los_%C3%81ngeles;Madripedia (madripedia.wikis.cc),verified,C-3,1851,Renfe Cercanias,Madrid,"Debe su nombre al barrio. 'San Cristóbal' alude a San Cristóbal, patrón de los viajeros; 'de los Ángeles' hace referencia a la cercanía del Cerro de los Ángeles en Getafe, una colina considerada tradicionalmente el centro geográfico de la Península Ibérica (aunque los geógrafos discuten esta afirmación). La estación se sitúa sobre la línea ferroviaria original Madrid-Aranjuez, inaugurada el 9 de febrero de 1851, la segunda de España tras la de Barcelona-Mataró (1848), pero la primera en dar servicio a la capital. La línea de 49 km fue construida por la Compañía del Camino de Hierro de Madrid a Aranjuez, presidida por el financiero Marqués de Salamanca, que también dio su nombre al barrio de Salamanca. La idea se remontaba a 1830, cuando un grupo de notables pidió a la Corona un ferrocarril que comunicase la Corte con el Real Sitio de Aranjuez.",San Cristóbal de los Ángeles barrio (santo patrón + Cerro de los Ángeles)
cercanias_017,San Cristóbal Industrial,cercanias_station,,Villaverde,,40.331632,-3.699378,descriptive,"Takes its name from the San Cristóbal de los Angeles neighbourhood and the adjacent Colonia Marconi industrial zone, where factories like Boetticher y Navarro, Standard Electrica, Marconi, and Barreiros (at its peak employing 12,000+ workers building trucks) transformed Villaverde from the 1940s-60s. The neighbourhood itself was built from 1959 as a 'poblado dirigido' (state-directed housing) on 43 hectares over a 19th-century brick factory, rehousing rural migrants from Andalucia and Extremadura. The station opened in 2004.",San Cristóbal Industrial estate (Valdemoro),,,,,,,,,es.wikipedia.org/wiki/Estacion_de_San_Cristóbal_Industrial;CRTM (crtm.es),verified,C-3,,Renfe Cercanias,Madrid,"Toma su nombre del barrio de San Cristóbal de los Ángeles y de la adyacente zona industrial Colonia Marconi, donde fábricas como Boetticher y Navarro, Standard Eléctrica, Marconi y Barreiros (que en su apogeo empleaba a más de 12 000 trabajadores fabricando camiones) transformaron Villaverde entre las décadas de 1940 y 1960. El propio barrio se construyó a partir de 1959 como 'poblado dirigido' sobre 43 hectáreas de una antigua fábrica de ladrillos del siglo XIX, para realojar a emigrantes rurales de Andalucía y Extremadura. La estación se inauguró en 2004.",Polígono industrial de San Cristóbal (Valdemoro)
cercanias_018,Getafe Industrial,cercanias_station,,,,40.305509,-3.707579,descriptive,"Named after the industrial zone that grew around Spain's first military air base (est. 1920). Aviation arrived in Getafe in 1911 when the Paris-Madrid air race finished at the Dehesa de Santa Quiteria. In 1923 Construcciones Aeronauticas S.A. (CASA) was founded beside the base, evolving into today's Airbus Defence and Space plant which builds Eurofighter Typhoons and A400M transports. Originally called 'Getafe-Alicante' after the railway line it served.",Getafe industrial zone,,,,,,,,,es.wikipedia.org/wiki/Estacion_de_Getafe_Industrial;CRTM (crtm.es),verified,C-3,,Renfe Cercanias,Getafe,"Debe su nombre a la zona industrial que creció en torno a la primera base aérea militar de España (fundada en 1920). La aviación llegó a Getafe en 1911, cuando la carrera aérea París-Madrid tuvo su meta en la Dehesa de Santa Quiteria. En 1923 se fundó junto a la base Construcciones Aeronáuticas S.A. (CASA), que evolucionó hasta convertirse en la actual planta de Airbus Defence and Space, donde se fabrican Eurofighter Typhoon y A400M. Originalmente la estación se llamó 'Getafe-Alicante', por la línea ferroviaria a la que daba servicio.",Zona industrial de Getafe
cercanias_019,Getafe Centro,cercanias_station,,,,40.309706,-3.734072,place,"Named after the city of Getafe. Etymology genuinely uncertain per García Sánchez (CVC Rinconete 2007): 'poco se puede decir de el sin dudar'. The most repeated theory derives it from Arabic 'jata' (something long) via medieval 'Xatafi', meaning 'calle larga' (long street) along the royal road to Toledo. Philip II's 1575 Relaciones Topograficas record this tradition. Leon Pinelo (17th c.) documented an earlier form 'Satafi'. Alternative: Jiménez de Gregorio proposed Arabic for 'huerta' (vegetable garden). García Sánchez notes the Arabic origin is 'presumed based on aspect and configuration' but not verifiable with current evidence. Earliest docs: Satafi/Xatafi c.1150; Xeetafee in 1249 deed.","Getafe (uncertain: Arabic jata/Xatafi per tradition, but unverifiable per García Sánchez)",,,,,,,,,García Sánchez (CVC Rinconete Part III 2007: cvc.cervantes.es/el_rinconete/anteriores/julio_07/09072007_01.asp); Philip II Relaciones Topograficas 1575; Leon Pinelo Anales de Madrid; Sánchez González 'De Alarnes a Getafe' (Ayto. Getafe 1989); Jiménez de Gregorio; es.wikipedia.org/wiki/Xatafi,uncertain,C-4,,Renfe Cercanias,Getafe,"Debe su nombre a la ciudad de Getafe, cuya etimología es genuinamente incierta según García Sánchez (CVC Rinconete 2007): 'poco se puede decir de él sin dudar'. La teoría más extendida la deriva del árabe 'jata' (algo largo) a través de la forma medieval 'Xatafí', que significaría 'calle larga', en alusión a la calle principal a lo largo del camino real a Toledo. Las Relaciones Topográficas de Felipe II (1575) recogen esta tradición. León Pinelo (s. XVII) documentó una forma anterior, 'Satafí'. Como alternativa, Jiménez de Gregorio propuso el árabe para 'huerta'. García Sánchez advierte que el origen árabe 'se presume por aspecto y configuración', pero no es verificable con las pruebas actuales. Documentación más antigua: Satafí/Xatafí, h. 1150; Xeetafee en escritura de 1249.","Getafe (incierto: árabe jata/Xatafi según la tradición, pero inverificable según García Sánchez)"
