id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,line,opening_year,operator,municipality,etymology_summary_es,named_after_es
ml_003,Virgen del Cortijo,metro_ligero_station,ML1,Hortaleza,,40.4900,-3.6560,religious,"Named after the Virgen del Cortijo neighbourhood in Hortaleza. In 1966 the city approved the Plan Parcial that created this development on vacant northern land. Built in phases by Pryconsa, the neighbourhood is popularly called 'La Colmena' (the beehive) because its streets and squares form a distinctive hexagonal grid. 'Cortijo' means farmstead, evoking the rural landscape that preceded urbanisation. The station opened in 2007 on ML1.",Virgen del Cortijo neighbourhood (Virgin Mary of the farmstead),,,,,,,,,es.wikipedia.org/wiki/Estacion_de_Virgen_del_Cortijo;comunidad.madrid,verified,ML1,2007,Metro Ligero Madrid,Madrid,"Lleva el nombre del barrio de la Virgen del Cortijo, en Hortaleza. En 1966 el Ayuntamiento aprobó el Plan Parcial que creó esta promoción en terrenos baldíos del norte de Madrid. Construido por fases por Pryconsa, el barrio es conocido popularmente como «La Colmena» porque sus calles y plazas forman una peculiar retícula hexagonal. «Cortijo» significa casa de labranza, evocando el paisaje rural que precedió a la urbanización. La estación se inauguró en 2007 en la línea ML1.",Virgen del Cortijo barrio (Virgin Mary of the farmstead)
ml_004,Antonio Saura,metro_ligero_station,ML1,Hortaleza,,40.4940,-3.6550,person,"Named after the street honouring Antonio Saura Atares (1930-1998), a major Spanish painter of the post-war period. In 1957 he co-founded the El Paso group in Madrid, a collective of painters, sculptors and critics who sought to revive Spanish art after the Civil War; he directed it until its dissolution in 1960. Saura is known for his expressionist-informalist works -- crucifixions, nudes, self-portraits and shrouds -- painted in an austere palette dominated by black, grey and white that echoes Goya, Velázquez and Picasso. His gestural brushwork and raw figuration made him one of Spain's most internationally recognised post-war artists, with retrospectives at the Guggenheim Bilbao and the Reina Sofia.",Antonio Saura,Q528511,M,1930,1998,painter; artist,Spanish,,,es.wikipedia.org/wiki/Antonio_Saura; antoniosaurafoundation.com; guggenheim-bilbao.eus/en/exhibitions/antonio-saura; artsy.net/artist/antonio-saura,verified,ML1,2007,Metro Ligero Madrid,Madrid,"Recibe su nombre de la calle dedicada a Antonio Saura Atarés (1930-1998), uno de los grandes pintores españoles de posguerra. En 1957 cofundó el grupo El Paso en Madrid, un colectivo de pintores, escultores y críticos que buscaba revitalizar el arte español tras la Guerra Civil; lo dirigió hasta su disolución en 1960. Saura es célebre por sus obras expresionistas e informalistas —crucifixiones, desnudos, autorretratos y sudarios— pintadas en una paleta austera dominada por el negro, el gris y el blanco, que evoca a Goya, Velázquez y Picasso. Su pincelada gestual y su figuración cruda lo convirtieron en uno de los artistas de posguerra más reconocidos internacionalmente, con retrospectivas en el Guggenheim Bilbao y el Reina Sofía.",Antonio Saura
ml_005,Álvarez de Villaamil,metro_ligero_station,ML1,Hortaleza,,40.4960,-3.6560,person,"Named after the street honouring Jenaro Pérez Villaamil y Duguet (1807-1854), the great Spanish romantic landscape painter from Ferrol (Galicia). He introduced the landscape genre to Spanish painting and is best remembered for 'España artística y monumental', a monumental three-volume collection of 122 lithographs of Spain's cities and monuments published in Paris (1842-1850) with texts by Patricio de la Escosura. Considered one of the most beautiful lithographed travel books of Spanish Romanticism, it documented Toledo, Seville, Burgos, Madrid and dozens of other sites. The Museo del Prado holds a celebrated diptych with 42 of his monumental views.",Jenaro Pérez Villaamil,Q71992,M,1807,1854,painter,Spanish,,,es.wikipedia.org/wiki/Jenaro_P%C3%A9rez_Villaamil; museodelprado.es; en.wikipedia.org/wiki/Jenaro_P%C3%A9rez_Villaamil; carmenthyssenmalaga.org/en/artista/genaro-perez-villaamil,verified,ML1,2007,Metro Ligero Madrid,Madrid,"Debe su nombre a la calle en honor de Jenaro Pérez Villaamil y Duguet (1807-1854), el gran paisajista romántico español natural de Ferrol (Galicia). Introdujo el género paisajístico en la pintura española y es recordado sobre todo por «España artística y monumental», una monumental colección en tres tomos con 122 litografías de ciudades y monumentos españoles, publicada en París (1842-1850) con textos de Patricio de la Escosura. Considerada uno de los más bellos libros litografiados del Romanticismo español, documenta Toledo, Sevilla, Burgos, Madrid y decenas de otros lugares. El Museo del Prado conserva un célebre díptico con 42 de sus vistas monumentales.",Jenaro Pérez Villaamil
ml_006,Blasco Ibáñez,metro_ligero_station,ML1,Fuencarral-El Pardo,,40.4990,-3.6580,person,"Named after the street honouring Vicente Blasco Ibáñez (1867-1928), Valencian novelist, journalist and Repúblican politician. His 1916 novel 'Los cuatro jinetes del Apocalipsis', set among Argentine expatriates in World War I, became a global bestseller and was adapted by Hollywood in 1921 in a Rex Ingram film that turned Rudolph Valentino into cinema's first sex symbol; its tango scene ignited a nationwide dance craze in the United States. 'Sangre y arena' was likewise filmed with Valentino in 1922. Blasco Ibáñez was also elected to the Cortes six times and spent his final years in exile on the French Riviera, where he died in Menton.",Vicente Blasco Ibáñez,Q219646,M,1867,1928,novelist; journalist; politician,Spanish,,,es.wikipedia.org/wiki/Vicente_Blasco_Ib%C3%A1%C3%B1ez; bne.es; imdb.com/title/tt0012190; en.wikipedia.org/wiki/Jenaro_P%C3%A9rez_Villaamil,verified,ML1,2007,Metro Ligero Madrid,Madrid,"Recibe su nombre de la calle dedicada a Vicente Blasco Ibáñez (1867-1928), novelista, periodista y político republicano valenciano. Su novela de 1916 «Los cuatro jinetes del Apocalipsis», ambientada entre expatriados argentinos durante la Primera Guerra Mundial, fue un éxito mundial y fue adaptada por Hollywood en 1921 en una película de Rex Ingram que convirtió a Rodolfo Valentino en el primer sex symbol del cine; su escena de tango desató una fiebre por este baile en Estados Unidos. «Sangre y arena» fue igualmente filmada con Valentino en 1922. Blasco Ibáñez fue también elegido diputado a Cortes en seis ocasiones y pasó sus últimos años exiliado en la Riviera francesa, donde falleció en Menton.",Vicente Blasco Ibáñez
ml_007,María Tudor,metro_ligero_station,ML1,Fuencarral-El Pardo,,40.5010,-3.6600,person,"Named after the street honouring Mary Tudor / María I of England (1516-1558), the first queen regnant of England. She was the only surviving child of Henry VIII and Catherine of Aragón -- herself daughter of the Reyes Católicos, Ferdinand and Isabella -- giving Mary a direct link to the Spanish Crown. In 1554 she married the future Felipe II of Spain at Winchester Cathedral; the couple were proclaimed joint rulers of England, France, Naples, Jerusalem and Ireland. A crucial clause in the marriage treaty barred Felipe from being crowned king in his own right, safeguarding English sovereignty. Mary's reign saw a brief Catholic restoration before her death in 1558.",María I de Inglaterra,Q82674,F,1516,1558,monarch,English,,,es.wikipedia.org/wiki/Mar%C3%ADa_I_de_Inglaterra; nationalgeographic.com.es; en.wikipedia.org/wiki/Wedding_of_Mary_I_of_England_and_Philip_of_Spain; en.wikipedia.org/wiki/Mary_I,verified,ML1,2007,Metro Ligero Madrid,Madrid,"Lleva el nombre de la calle dedicada a María Tudor / María I de Inglaterra (1516-1558), primera reina reinante de Inglaterra. Era la única hija superviviente de Enrique VIII y Catalina de Aragón —hija a su vez de los Reyes Católicos, Fernando e Isabel—, lo que daba a María un vínculo directo con la Corona española. En 1554 se casó con el futuro Felipe II de España en la catedral de Winchester; ambos fueron proclamados soberanos conjuntos de Inglaterra, Francia, Nápoles, Jerusalén e Irlanda. Una cláusula esencial del tratado matrimonial impedía a Felipe ser coronado rey por derecho propio, salvaguardando la soberanía inglesa. El reinado de María supuso una breve restauración católica antes de su muerte en 1558.",María I de Inglaterra
ml_008,Palas de Rey,metro_ligero_station,ML1,Fuencarral-El Pardo,,40.5030,-3.6620,place,"Named after the street referencing Palas de Rei, a municipality in Lugo (Galicia) on the Camino Francés to Santiago de Compostela, about 65 km from the Cathedral. The name derives from Latin 'Palatium Regis' (Palace of the King), traditionally linked to Visigothic King Witiza (r. 702-710), who is said to have kept a palace here. According to chronicle tradition, it was in Palas that Witiza killed Duke Favila of Galicia, father of Don Pelayo, the future hero of the Reconquista. Witiza had come to Galicia around 701 fleeing plague and a Byzantine incursion; he was only fourteen when anointed king.",Palas de Rei,Q12397020,,,,,,,,es.wikipedia.org/wiki/Estacion_de_Palas_de_Rey;comunidad.madrid; en.wikipedia.org/wiki/Palas_de_Rei; vivecamino.com/en/palas-de-rei,verified,ML1,2007,Metro Ligero Madrid,Madrid,"Toma su nombre de la calle que hace referencia a Palas de Rei, municipio de Lugo (Galicia) situado en el Camino Francés a Santiago de Compostela, a unos 65 km de la Catedral. El nombre procede del latín «Palatium Regis» (Palacio del Rey), vinculado tradicionalmente al rey visigodo Witiza (r. 702-710), de quien se dice que tuvo aquí un palacio. Según la tradición cronística, fue en Palas donde Witiza mató al duque Favila de Galicia, padre de Don Pelayo, el futuro héroe de la Reconquista. Witiza había llegado a Galicia hacia 701 huyendo de la peste y de una incursión bizantina; contaba solo catorce años cuando fue ungido rey.",Palas de Rei
ml_011,Prado de la Vega,metro_ligero_station,ML2,,,40.3900,-3.7650,descriptive,"Named after the local area between Boadilla and Pozuelo. 'Prado' means 'meadow' (Latin pratum); 'de la Vega' means 'of the fertile plain'. Archaeological excavations along the Arroyo de la Vega uncovered 'La Vega', a small Visigoth settlement with thirteen rooms, as well as the nearby San Babiles hill necropolis (6th-8th c.). The station opened in 2007 on Metro Ligero line ML2 in what was once open agricultural floodplain.",Prado de la Vega (meadow of the fertile plain),,,,,,,,,RAE (dle.rae.es/prado; dle.rae.es/vega); soloboadilla.es (Visigoth settlement 'La Vega'); es.wikipedia.org/wiki/Estacion_de_Prado_de_la_Vega;Ayto. Boadilla del Monte (ayuntamientoboadilladelmonte.org),verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Toma su nombre de la zona situada entre Boadilla y Pozuelo. «Prado» significa pradera (del latín pratum); «de la Vega» alude a la llanura fértil. Las excavaciones arqueológicas a lo largo del arroyo de la Vega descubrieron «La Vega», un pequeño asentamiento visigodo de trece estancias, así como la necrópolis cercana del cerró de San Babiles (siglos VI-VIII). La estación se inauguró en 2007 en la línea ML2 de Metro Ligero, en lo que fue una llanura de inundación de uso agrícola.",Prado de la Vega (prado de la vega fértil)
ml_012,Colonia de los Ángeles,metro_ligero_station,ML2,,,40.3940,-3.7700,historical,"Named after the Colonia de los Angeles, founded in 1926 when its owner parcelled the land as part of a wave of 'colonias de hotelitos' that transformed Pozuelo after the railway arrived in 1861. Madrid's bourgeoisie had discovered the area as a summer retreat, and colonies like San José (1914) and Los Angeles sprang up along the Camino de Humera. The Sociedad Colonia de los Angeles was formally created in 1929, and the first fiestas in honour of Nuestra Señora de los Ángeles were celebrated in 1942. The colony retains its low-density garden character wedged between the Casa de Campo and Somosaguas.",Colonia de los Ángeles (neighbourhood near Cerro de los Ángeles),,,,,,,,,asoclosangeles.org/colonia-los-angeles (founded 1926); pozuelodealarcon.org/tu-ayuntamiento/tu-ciudad/acerca-de-pozuelo/historia; archimadrid.org (patrona Nuestra Señora de los Ángeles);Ayto. Boadilla del Monte (ayuntamientoboadilladelmonte.org),verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Lleva el nombre de la Colonia de los Ángeles, fundada en 1926 cuando su propietario parceló los terrenos dentro de la oleada de «colonias de hotelitos» que transformó Pozuelo tras la llegada del ferrocarril en 1861. La burguesía madrileña había descubierto la zona como lugar de veraneo, y colonias como San José (1914) y Los Ángeles brotaron a lo largo del camino de Húmera. La Sociedad Colonia de los Ángeles se constituyó formalmente en 1929, y las primeras fiestas en honor de Nuestra Señora de los Ángeles se celebraron en 1942. La colonia conserva su carácter de baja densidad ajardinada, encajada entre la Casa de Campo y Somosaguas.",Colonia de los Ángeles (barrio near Cerro de los Ángeles)
ml_013,Prado del Rey,metro_ligero_station,ML2,,,40.3970,-3.7750,descriptive,"Named after the Prado del Rey area. 'Prado del Rey' means 'the King's Meadow' (from Latin pratum: meadow), indicating a royal meadow or pasture belonging to the Crown. The area was historically part of royal hunting grounds. The Arroyo Prado del Rey still flows through the area. The site later became the headquarters of RTVE (state television) from 1964, making 'Prado del Rey' synonymous with Spanish public broadcasting.","Prado del Rey (the King's Meadow, royal pastureland)",,,,,,,,,es.wikipedia.org/wiki/Prado_del_Rey;Mesa del Arbol de Carabanchel (mesadelarbolcarabanchel.com);La Cerca (lacerca.com),verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Debe su nombre a la zona de Prado del Rey. «Prado del Rey» significa la pradera del rey (del latín pratum: pradera), indicando un prado o pastizal perteneciente a la Corona. La zona formó históricamente parte de los cazaderos reales. El arroyo del Prado del Rey sigue discurriendo por el lugar. Más tarde, a partir de 1964, aquí se instaló la sede de RTVE (Radiotelevisión Española), convirtiendo «Prado del Rey» en sinónimo de la televisión pública española.","Prado del Rey (el Prado del Rey, royal pastureland)"
ml_014,Somosaguas Sur,metro_ligero_station,ML2,,,40.4010,-3.7810,place,"Named after the Somosaguas area in Pozuelo de Alarcón. 'Somosaguas' is a compound of 'somo' (from Latin summum: the highest part, elevated area) + 'aguas' (waters), referring to elevated terrain with water sources. The area historically had ferruginous springs. The hamlet of San Juan de Somosaguas was depopulated during the fratricidal wars between Pedro I and Enrique II (14th century).","Somosaguas (elevated terrain with springs, from Latin summum + aguas)",,,,,,,,,Toponomasticon Hispaniae (toponhisp.org -- Somosierra cognate lists Somosaguas); pozuelodealarcon.org/tu-ayuntamiento/tu-ciudad/acerca-de-pozuelo/historia; elcorreodepozuelo.com (ferruginous springs); es.wikipedia.org/wiki/Somosaguas,verified,ML2,2007,Metro Ligero Oeste,Pozuelo de Alarcón,"Recibe su nombre de la zona de Somosaguas, en Pozuelo de Alarcón. «Somosaguas» es un compuesto de «somo» (del latín summum: la parte más alta, lugar elevado) + «aguas», aludiendo a un terreno elevado con manantiales. La zona contó históricamente con fuentes de aguas ferruginosas. La aldea de San Juan de Somosaguas quedó despoblada durante las guerras fratricidas entre Pedro I y Enrique II (siglo XIV).","Somosaguas (terreno elevado con manantiales, del latín summum + aguas)"
