id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,line,opening_year,operator,etymology_summary_es,named_after_es
metro_001,Sol,station,,Centro,Sol,40.4169,-3.7036,historical,"From the Puerta del Sol, one of Madrid's medieval fortress gates, first documented during the 1520 Comuneros revolt. The gate may have borne a carved sun or faced east toward the sunrise; it was demolished in 1570 but the name endured. The square became the symbolic heart of Spain: Kilometre Zero of the six national radial roads is marked in the pavement before the Casa de Correos. Since 1909, millions have gathered here on New Year's Eve to eat twelve grapes at midnight with each chime of the clock. The iconic Tío Pepe neon sherry sign has towered over the square since 1958, and the 1967 bronze statue of El Oso y el Madroño (the Bear and the Strawberry Tree), Madrid's heraldic emblem, is the city's most photographed monument.",Puerta del Sol,Q427163,,,,,,,Vodafone Sol (2013-2016),Renfe Blog (renfe.com); es.wikipedia.org/wiki/Puerta_del_Sol;Secretos de Madrid (secretosdemadrid.es),verified,1;2;3;C-3;C-4,1919,Metro de Madrid; Renfe Cercanias,"Debe su nombre a la Puerta del Sol, una de las puertas de la fortaleza medieval de Madrid, documentada por primera vez durante la revuelta de los Comuneros en 1520. Es posible que la puerta luciera un sol tallado o que estuviera orientada al este, hacia la salida del astro; fue demolida en 1570, pero el nombre pervivió. La plaza se convirtió en el corazón simbólico de España: el Kilómetro Cero de las seis carreteras radiales nacionales está marcado en el pavimento frente a la Casa de Correos. Desde 1909, millones de personas se congregan aquí cada Nochevieja para tomar las doce uvas de la suerte al compás de las campanadas del reloj. El icónico letrero de neón de Tío Pepe corona la plaza desde 1958, y la estatua de bronce de El Oso y el Madroño (1967), emblema heráldico de la capital, es el monumento más fotografiado de la ciudad.",Puerta del Sol
metro_002,Gran Vía,metro_station,,Centro,,40.419912,-3.701619,descriptive,"Named after the Gran Via boulevard ('Great Way'), Madrid's iconic avenue built 1910-1929. Around 300 buildings were razed and fifteen streets erased to drive a 1.3 km east-west thoroughfare through the medieval core, a project contemporaries called 'an axe blow on the map'. First proposed by Carlos Velasco in 1886, it was the most ambitious urban transformation Madrid had seen since the 1860 Ensanche. After the Civil War the Franco regime renamed it Avenida de José Antonio after the Falange founder; Mayor Tierno Galván restored the original name in 1981. Lined with early-20th-century theatres and cinemas, the Gran Via is often called Madrid's Broadway.",Gran Vía,Q1324163,,,,,,,José Antonio (1940-1983),MadridMobilite (madridmobilite.com); es.wikipedia.org/wiki/Gran_V%C3%ADa_(Madrid);comunidad.madrid,verified,1;5,1919,Metro de Madrid,"Lleva el nombre de la Gran Vía, la emblemática avenida madrileña construida entre 1910 y 1929. Cerca de 300 edificios fueron derribados y quince calles borradas del mapa para abrir un bulevar de 1,3 km de este a oeste a través del casco medieval, una obra que los contemporáneos describieron como 'un hachazo sobre el plano'. Propuesta por primera vez por Carlos Velasco en 1886, fue la transformación urbana más ambiciosa que Madrid había conocido desde el Ensanche de 1860. Tras la Guerra Civil, el régimen franquista la rebautizó como Avenida de José Antonio en honor al fundador de Falange; el alcalde Tierno Galván restituyó el nombre original en 1981. Flanqueada por teatros y cines de principios del siglo XX, la Gran Vía es conocida a menudo como el Broadway madrileño.",Gran Vía
metro_003,Tirso de Molina,metro_station,,Centro,,40.412361,-3.704585,person,"Named after Fray Gabriel Téllez (c. 1579-1648), known by his pen name Tirso de Molina, a Mercedarian friar and one of the great dramatists of the Spanish Golden Age. His play 'El burlador de Sevilla y convidado de piedra' (c. 1630) introduced the figure of Don Juan to world literature, a character reimagined by Moliere, Mozart, Byron, and countless others. Téllez entered the Order of Mercy at Madrid's Convento de la Merced Calzada around 1600, near where the plaza now stands. The metro station opened in 1921 as 'Progreso'; it was renamed Tirso de Molina in 1939 along with the plaza above, replacing the liberal-era name after the Civil War.",Tirso de Molina,Q295598,M,1579,1648,playwright; friar,Spanish,,Progreso (until 1939),Muy Interesante (muyinteresante.com); es.wikipedia.org/wiki/Tirso_de_Molina;RAH Diccionario Biografico Espanol (dbe.rah.es),verified,1,1921,Metro de Madrid,"Homenajea a Fray Gabriel Téllez (c. 1579-1648), más conocido por su seudónimo Tirso de Molina, fraile mercedario y uno de los grandes dramaturgos del Siglo de Oro español. Su obra 'El burlador de Sevilla y convidado de piedra' (c. 1630) introdujo la figura de Don Juan en la literatura universal, un personaje que reimaginarían Molière, Mozart, Byron y tantos otros. Téllez ingresó en la Orden de la Merced en el Convento de la Merced Calzada de Madrid hacia 1600, cerca de donde hoy se levanta la plaza. La estación de metro se inauguró en 1921 con el nombre de 'Progreso' y fue rebautizada como Tirso de Molina en 1939, al tiempo que la plaza, sustituyendo el nombre de la era liberal tras la Guerra Civil.",Tirso de Molina
metro_004,La Latina,metro_station,,Latina,,40.411291,-3.708309,person,"Named after Beatriz Galindo 'La Latina' (1465-1534), a humanist so gifted in Latin that she lectured at the University of Salamanca before age twelve. Queen Isabel la Católica summoned her to court as royal tutor; she went on to teach five queens, including Catherine of Aragón. She wrote Latin poetry and a commentary on Aristotle, and founded the Hospital de la Santa Cruz in Madrid in 1506. The neighbourhood where she lived still bears her nickname.",Beatriz Galindo,Q1708316,F,1465,1534,humanist; Latin scholar,Spanish,,,Muy Interesante (muyinteresante.com);Civitatis (civitatis.com/es/madrid),verified,5,1968,Metro de Madrid,"Rinde tributo a Beatriz Galindo, 'La Latina' (1465-1534), una humanista de talento tan extraordinario para el latín que impartió clases en la Universidad de Salamanca antes de cumplir los doce años. La reina Isabel la Católica la llamó a la corte como preceptora real, y llegó a instruir a cinco reinas, entre ellas Catalina de Aragón. Escribió poesía en latín y un comentario sobre Aristóteles, y en 1506 fundó el Hospital de la Santa Cruz en Madrid. El barrio donde vivió sigue llevando su célebre apodo.",Beatriz Galindo
metro_005,Goya,metro_station,,Salamanca,,40.424699,-3.6762,person,"Named after Francisco de Goya (1746-1828), court painter to the Spanish Crown and one of the most influential artists in Western history. A mysterious illness left him completely deaf in 1792, and in old age he painted his haunting Black Paintings directly onto the walls of his house near Madrid, never intending them for public display. Those murals were later transferred to canvas and moved to the Prado, where they remain among the museum's most visited works.",Francisco de Goya,Q5432,M,1746,1828,painter; printmaker,Spanish,,,Muy Interesante (muyinteresante.com); es.wikipedia.org/wiki/Francisco_de_Goya;RAH Diccionario Biografico Espanol (dbe.rah.es),verified,2;4,1924,Metro de Madrid,"Evoca a Francisco de Goya (1746-1828), pintor de cámara de la Corona española y uno de los artistas más influyentes de la historia occidental. Una misteriosa enfermedad lo dejó completamente sordo en 1792, y en su vejez pintó las sobrecogedoras Pinturas Negras directamente sobre los muros de su casa cerca de Madrid, sin intención alguna de exhibirlas. Aquellos murales fueron posteriormente arrancados de las paredes, trasladados a lienzo y llevados al Prado, donde figuran entre las obras más visitadas del museo.",Francisco de Goya
metro_006,Argüelles,metro_station,,Moncloa-Aravaca,,40.430727,-3.716172,person,"Named after Agustín de Argüelles (1776-1844), the liberal orator known as 'El Divino' for his eloquence in the Cortes of Cádiz. He drafted the Preliminary Discourse of the 1812 Constitution, championed press freedom, and fought to abolish torture and the slave trade. Ferdinand VII imprisoned him and drove him into eleven years of London exile, where he worked as a librarian rather than accept charity. He returned to serve as tutor to the young Queen Isabel II.",Agustín de Argüelles,Q634348,M,1776,1844,lawyer; politician,Spanish,,,Muy Interesante (muyinteresante.com); es.wikipedia.org/wiki/Agust%C3%ADn_de_Arg%C3%BCelles;callesdemadrid.cc,verified,3;4;6,1941,Metro de Madrid,"Recuerda a Agustín de Argüelles (1776-1844), el orador liberal apodado 'El Divino' por su elocuencia en las Cortes de Cádiz. Redactó el Discurso Preliminar de la Constitución de 1812, defendió la libertad de prensa y luchó por abolir la tortura y la trata de esclavos. Fernando VII lo encarceló y lo empujó a once años de exilio en Londres, donde prefirió trabajar como bibliotecario antes que aceptar limosnas. Regresó a España para servir como tutor de la joven reina Isabel II.",Agustín de Argüelles
metro_007,Chueca,metro_station,,Centro,,40.42267,-3.697674,person,"Named after Federico Chueca (1846-1908), the beloved zarzuela composer whose career began in prison: he composed a set of waltzes during three days jailed for joining a revolt, and the work so impressed Barbieri that it was orchestrated and staged. His 1886 masterpiece 'La Gran Via', a satirical revue of Madrid street life, ran four consecutive years and became a rare Spanish hit in Vienna and Paris. Today the vibrant neighbourhood around Plaza de Chueca also bears his name.",Federico Chueca,Q652534,M,1846,1908,composer,Spanish,,,Muy Interesante (muyinteresante.com); es.wikipedia.org/wiki/Federico_Chueca;callesdemadrid.cc,verified,5,1970,Metro de Madrid,"Lleva el nombre de Federico Chueca (1846-1908), el querido compositor de zarzuelas cuya carrera comenzó en prisión: compuso una serie de valses durante los tres días que pasó encarcelado por sumarse a una revuelta, y la obra impresionó tanto a Barbieri que fue orquestada y estrenada. Su obra maestra de 1886, 'La Gran Vía', una revista satírica de la vida callejera madrileña, se representó durante cuatro años consecutivos y se convirtió en un raro éxito español en Viena y París. Hoy, el vibrante barrio en torno a la plaza de Chueca también lleva su nombre.",Federico Chueca
metro_008,Embajadores,station,,Centro,,40.404812,-3.702273,historical,"Named after the Calle de Embajadores. During the reign of Juan II of Castile (15th century), a plague outbreak forced foreign ambassadors from Tunis, Navarre, Aragón, and France to be quartered in country houses outside the city walls to avoid contagion. The area became the 'Campo de Embajadores' (Field of Ambassadors), and the street leading to it inherited the name. Appears on the Texeira map (1656).",Campo de Embajadores (15th-century ambassadors' quarter),,,,,,,,,Secretos de Madrid (secretosdemadrid.es);Wikipedia (es.wikipedia.org); Texeira map 1656,verified,3;C-5,1936,Metro de Madrid; Renfe Cercanias,"Toma su nombre de la calle de Embajadores. Durante el reinado de Juan II de Castilla (siglo XV), un brote de peste obligó a alojar a los embajadores extranjeros de Túnez, Navarra, Aragón y Francia en casas de campo extramuros para evitar el contagio. La zona pasó a conocerse como el 'Campo de Embajadores', y la calle que conducía hasta allí heredó el nombre. Aparece ya en el plano de Texeira (1656).",Campo de Embajadores (barrio de embajadores del siglo XV)
metro_009,Lavapiés,metro_station,,Centro,,40.4087,-3.7004,historical,"Disputed origin. (1) Topographical theory (favoured by Lorenzo Arribas, CVC 2008; Bazaco Palacios et al. 2013): rainwater rushing down the steep barranco (ravine) toward Glorieta de Embajadores literally washed pedestrians' feet in the unpaved streets. The 2013 paper 'Lavapies, barranco y arrabal' characterizes the area as a dramatic ravine, not merely a slope. (2) Jewish fountain legend: Jews washed feet before entering a nearby synagogue. Modern historians reject this: Urgorri's 1954 study of the 1453 census shows Jews lived dispersed across Madrid, not in a ghetto. (3) Posada/inn theory: travellers washed feet before sharing beds. (4) Moratín's underground springs theory (dismissed by Mesonero Romanos). Earliest document: 1441 land sale mentioning 'two agricultural plots at Lavapies' (Archivo de Villa). Medieval variants: 'Alavapies'/'Avapies' (1441-1498).",Lavapiés neighbourhood (topographical origin),,,,,,,,,"Lorenzo Arribas (CVC 2008: cvc.cervantes.es/el_rinconete/anteriores/noviembre_08/21112008_01.htm); Bazaco Palacios, Lorenzo Arribas & Real Gallego 2013 (academia.edu/4588123); Turra Historica 2021 (turrahistorica.com); Mesonero Romanos 'El antiguo Madrid' 1861; Madrid Archivo de Villa (earliest doc. 1441)",uncertain,3,1936,Metro de Madrid,"Origen disputado. (1) Teoría topográfica (favorecida por Lorenzo Arribas, CVC 2008; Bazaco Palacios et al. 2013): el agua de lluvia que descendía con fuerza por el pronunciado barranco hacia la Glorieta de Embajadores literalmente mojaba los pies de los viandantes en las calles sin empedrar. El estudio de 2013 'Lavapiés, barranco y arrabal' caracteriza la zona como un barranco escarpado, no una simple pendiente. (2) Leyenda de la fuente judía: los judíos se lavaban los pies antes de entrar en una sinagoga cercana. Los historiadores modernos la descartan: el estudio de Urgorri de 1954 sobre el padrón de 1453 demuestra que los judíos vivían dispersos por todo Madrid, sin formar un gueto. (3) Teoría de la posada: los viajeros se lavaban los pies antes de compartir cama. (4) Teoría de las fuentes subterráneas de Moratín (descartada por Mesonero Romanos). Documento más antiguo: venta de terreno de 1441 que menciona 'dos hazas de tierra a Lavapiés' (Archivo de Villa). Variantes medievales: 'Alavapiés'/'Avapiés' (1441-1498).",Lavapiés barrio (topographical origin)
metro_010,Chamberí,metro_station,,Chamberí,,40.4349,-3.7044,place,"Named after the neighbourhood, whose name derives from the French city of Chambery, capital of Savoy, though the transmission mechanism is debated. The most probable link is via Queen Bárbara de Braganza, who founded the Royal Salesas Convent (c.1748) with nuns from Chambery/Annecy in Savoy; the toponym first appears on Chalmandrier's 1761 map. An alternative attributes it to Luisa Gabriela de Saboya (wife of Felipe V). The Napoleonic regiment theory is refuted by the 1761 map predating Napoleón. This station closed in 1966 and reopened as a museum ('Estación Fantasma') in 2008.",Chambéry (Savoy),Q165090,,,,,,,Closed 1966; museum 2008,Caridad Arias (dialnet.unirioja.es/servlet/articulo?código=3012173); chamberi30dias.es/reportajes/chamberi-la-historia-del-nombre-frances-de-un-barrio-de-chisperos; Pedro de Repide; Chalmandrier map 1761 (IGN interactive viewer: ign.es/web/catálogo-cartoteca/resources/webmaps/chalmandrier.html; catalogue: ign.es/web/catálogo-cartoteca/resources/html/031304.html);Chamberi30dias (chamberi30dias.es); Ayuntamiento de Madrid 'Historia de Chamberí',verified,1,1919,Metro de Madrid,"Debe su nombre al barrio, cuyo topónimo procede de la ciudad francesa de Chambéry, capital de Saboya, aunque el mecanismo de transmisión sigue debatiéndose. El vínculo más probable es a través de la reina Bárbara de Braganza, que fundó el Real Convento de las Salesas (c. 1748) con monjas procedentes de Chambéry y Annecy en Saboya; el topónimo aparece por primera vez en el plano de Chalmandrier de 1761. Una teoría alternativa lo atribuye a Luisa Gabriela de Saboya (esposa de Felipe V). La hipótesis del regimiento napoleónico queda refutada porque el plano de 1761 es anterior a Napoleón. Esta estación cerró en 1966 y reabrió como museo ('Estación Fantasma') en 2008.",Chambéry (Saboya)
