id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,etymology_summary_es,named_after_es
plaza_001,Puerta del Sol,plaza,,Centro,Sol,40.4169,-3.7036,historical,"One of Madrid's original medieval fortress gates. The gate may have had a sun ('sol') carved on it, or it faced east toward the sunrise. First documented during the 1520-22 Comuneros revolt. Now considered the geographic centre of Spain (Km 0).",Puerta del Sol (gate),Q427163,,,,,,,,es.wikipedia.org/wiki/Puerta_del_Sol; Renfe Blog (renfe.com); Secretos de Madrid,verified,"Una de las puertas originales de la fortaleza medieval de Madrid. Es posible que la puerta luciera un sol ('sol') tallado o que estuviera orientada al este, hacia el amanecer. Primera documentación durante la revuelta de los Comuneros (1520-1522). Hoy se considera el centro geográfico de España (Km 0).",Puerta del Sol (puerta)
plaza_002,Plaza Mayor,plaza,,Centro,Los Austrias,40.4155,-3.7075,descriptive,'Main Square' -- built 1617-1619 under Felipe III by architect Juan Gomez de Mora. Originally called 'Plaza del Arrabal' (square of the outskirts) when it was a marketplace outside the medieval walls.,,,,,,,Plaza del Arrabal,es.wikipedia.org/wiki/Plaza_Mayor_de_Madrid; esmadrid.com; Madripedia,verified,,,'Plaza principal': construida entre 1617 y 1619 bajo Felipe III por el arquitecto Juan Gómez de Mora. Originalmente se llamaba 'Plaza del Arrabal' cuando era un mercado extramuros de la cerca medieval.,
plaza_003,Plaza de España,plaza,,Moncloa-Aravaca,,40.4234,-3.7122,place,Named to honour Spain. Features the Cervantes monument (1929) with statues of Don Quixote and Sancho Panza.,Spain,Q29,,,,,,,,es.wikipedia.org/wiki/Plaza_de_Espana_(Madrid); esmadrid.com,verified,Nombrada en honor a España. Alberga el monumento a Cervantes (1929) con las estatuas de Don Quijote y Sancho Panza.,España
plaza_004,Plaza de Cibeles,plaza,,Retiro,,40.4190,-3.6931,mythological,"Named after the Fuente de Cibeles (1782), a fountain depicting the Roman goddess Cybele riding a chariot pulled by lions. Designed by Ventura Rodríguez.",Cybele (Roman goddess),Q188236,F,,,,,,,es.wikipedia.org/wiki/Plaza_de_Cibeles; esmadrid.com,verified,"Debe su nombre a la Fuente de Cibeles (1782), que representa a la diosa romana Cibeles sobre un carro tirado por leones. Diseñada por Ventura Rodríguez.",Cibeles (diosa romana)
plaza_005,Plaza de Neptuno,plaza,,Retiro,,40.4152,-3.6945,mythological,"Named after the Fuente de Neptuno (1786), depicting the Roman god Neptune on a chariot pulled by sea horses. Now officially 'Plaza de Canovas del Castillo'.",Neptune (Roman god),Q3954,M,,,,,,Plaza de Canovas del Castillo (official name),es.wikipedia.org/wiki/Plaza_de_C%C3%A1novas_del_Castillo; esmadrid.com,verified,"Debe su nombre a la Fuente de Neptuno (1786), que representa al dios romano Neptuno sobre un carro tirado por caballos marinos. Su nombre oficial es 'Plaza de Cánovas del Castillo'.",Neptuno (dios romano)
plaza_006,Plaza de Oriente,plaza,,Centro,,40.4184,-3.7144,descriptive,"Named for its location to the east ('oriente') of the Royal Palace. Paradoxically, it is west of the city centre -- the name refers to the palace's orientation.",,,,,,,,,,es.wikipedia.org/wiki/Plaza_de_Oriente; esmadrid.com,verified,"Nombrada por su ubicación al este ('oriente') del Palacio Real. Paradójicamente, queda al oeste del centro de la ciudad: el nombre alude a la orientación del palacio.",
plaza_007,Parque del Retiro,park,,Retiro,,40.4153,-3.6844,historical,"Originally the gardens of the Buen Retiro Palace (1633), built as a royal retreat for Felipe IV. 'Retiro' means retreat. Opened to the public in 1868 after the fall of Isabel II. UNESCO World Heritage since 2021.",Palacio del Buen Retiro,Q962117,,,,,,,,es.wikipedia.org/wiki/Parque_del_Retiro; esmadrid.com; museodelprado.es,verified,"Originalmente los jardines del Palacio del Buen Retiro (1633), construido como lugar de retiro real para Felipe IV. 'Retiro' significa apartamiento. Abierto al público en 1868 tras la caída de Isabel II. Patrimonio Mundial de la UNESCO desde 2021.",Palacio del Buen Retiro
plaza_008,Casa de Campo,park,,Moncloa-Aravaca,,40.4206,-3.7488,historical,"Originally a royal hunting estate ('casa de campo' = country house) acquired by Felipe II in 1562. Opened to the public during the Second Republic (1931). At 1,722 hectares, it is the largest public park in Madrid.",,,,,,,,,,es.wikipedia.org/wiki/Casa_de_Campo; esmadrid.com,verified,"Originalmente un cazadero real ('casa de campo' = finca rústica) adquirido por Felipe II en 1562. Abierto al público durante la Segunda República (1931). Con 1.722 hectáreas, es el parque público más grande de Madrid.",
plaza_009,Parque del Oeste,park,,Moncloa-Aravaca,,40.4361,-3.7298,descriptive,'Western Park' -- created in 1906 by landscape architect Cecilio Rodriguez on former military land on the western edge of the city. Contains the Templo de Debod.,,,,,,,,,,es.wikipedia.org/wiki/Parque_del_Oeste; esmadrid.com,verified,'Parque del Oeste': creado en 1906 por el paisajista Cecilio Rodríguez en antiguos terrenos militares del límite occidental de la ciudad. Alberga el Templo de Debod.,
plaza_010,Plaza de Castilla,plaza,,Chamartín,,40.4663,-3.6886,place,Named to honour the historical region of Castilla (Castile). Features the Torres Kio/Puerta de Europa inclined towers.,Castile,Q217196,,,,,,,,es.wikipedia.org/wiki/Plaza_de_Castilla; esmadrid.com; crtm.es,verified,"Nombrada en honor a la región histórica de Castilla. Alberga las Torres KIO/Puerta de Europa, torres inclinadas.",Castilla
plaza_011,Puerta de Alcalá,monument,,Retiro,,40.4202,-3.6888,place,"Monumental gate built 1769-1778 by architect Francesco Sabatini, commissioned by King Carlos III. Named because it stands on the road to Alcala de Henares. One of Madrid's most iconic landmarks.",Alcala de Henares,Q46940,,,,,,,,es.wikipedia.org/wiki/Puerta_de_Alcal%C3%A1; esmadrid.com,verified,"Puerta monumental construida entre 1769 y 1778 por el arquitecto Francesco Sabatini, por encargo del rey Carlos III. Nombrada así por encontrarse en el camino a Alcalá de Henares. Uno de los monumentos más emblemáticos de Madrid.",Alcalá de Henares
plaza_012,Puerta de Toledo,monument,,Latina,,40.4055,-3.7114,place,"Built 1813-1827, originally planned to honour Napoleon's brother Joseph Bonaparte, but repurposed as a triumphal arch for King Fernando VII. Named for its position on the road to Toledo.",Toledo,Q5836,,,,,,,,es.wikipedia.org/wiki/Puerta_de_Toledo_(Madrid); esmadrid.com,verified,"Construida entre 1813 y 1827, originalmente concebida en honor a José Bonaparte, hermano de Napoleón, pero reconvertida en arco triunfal para el rey Fernando VII. Nombrada por su ubicación en el camino a Toledo.",Toledo
plaza_013,Parque de la Dehesa de la Villa,park,,Moncloa-Aravaca,,40.4562,-3.7194,historical,'Dehesa' means a common pasture/woodland. This was communal grazing land ('dehesa') belonging to the 'villa' (town) of Madrid since medieval times.,,,,,,,,,,es.wikipedia.org/wiki/Dehesa_de_la_Villa; esmadrid.com,probable,'Dehesa' designa un pasto o monte comunal. Se trata de tierras de pastoreo comunitario ('dehesa') pertenecientes a la 'villa' (municipio) de Madrid desde la Edad Media.,
plaza_014,Madrid Río,park,,Arganzuela,,40.3948,-3.7162,descriptive,"Named for its location along the Manzanares River ('rio'). Created 2006-2011 by burying the M-30 motorway, transforming the riverbank into a linear park.",,,,,,,,,,es.wikipedia.org/wiki/Madrid_R%C3%ADo; esmadrid.com; comunidad.madrid,verified,"Nombrado por su ubicación a lo largo del río Manzanares ('río'). Creado entre 2006 y 2011 mediante el soterramiento de la autovía M-30, que transformó la ribera en un parque lineal.",
