name,etymology_wikidata_ids,etymology_text,highway_types,osm_way_count
Anillo Verde Ciclista,Q24036428,,cycleway;footway,74
Autovía de Toledo,Q789292,,motorway,13
Autovía del Este,Q789271,,motorway,6
Autovía del Nordeste,Q776532,,motorway;motorway_link,30
Autovía del Norte,Q789245,,motorway,11
Autovía del Suroeste,Q2744396,,construction;motorway,45
Avenida Aurora Boreal,Q40609,,footway,1
Avenida Blas de Lezo,Q881760,,construction;secondary,19
Avenida Camino de Santiago,Q41150,,residential;tertiary,38
Avenida Ensanche de Vallecas,Q3847485,,primary;residential;secondary;tertiary,60
Avenida Felipe II,Q34417,,residential,6
Avenida Miguel Delibes,Q157326,,construction;secondary,19
Avenida de Alberto Alcocer,Q3813689,,residential;secondary,25
Avenida de América,Q5686040,,living_street;motorway;motorway_link;primary;residential;tertiary;unclassified,99
Avenida de Betanzos,Q671341,,residential;service;tertiary,24
Avenida de Buenos Aires,Q1486,,secondary,11
Avenida de Concha Espina,Q3751269,,construction;secondary,13
Avenida de Daroca,Q978587,,residential;secondary;tertiary,24
Avenida de Felipe II,Q34417,,pedestrian,1
Avenida de Filipinas,Q928,,primary;tertiary,6
Avenida de Francisco Pi y Margall,Q450271,,residential;tertiary,36
Avenida de Guadalajara,Q11953,,residential;tertiary,6
Avenida de Isabel de Valois,Q176041,,residential,2
Avenida de Jaca,Q49581,,residential,3
Avenida de Juan Antonio Samaranch,Q171166,,residential;secondary;tertiary,30
Avenida de La Gavia,Q5706141,,primary,16
Avenida de Logroño,Q14325,,residential;secondary;service,16
Avenida de Luis Aragonés,Q576614,,primary;residential,9
Avenida de Menéndez Pelayo,Q716799,,residential;secondary;tertiary_link,33
Avenida de Monforte de Lemos,Q818341,,primary;residential;service;tertiary,50
Avenida de Nazaret,Q430776,,secondary,5
Avenida de Niceto Alcalá Zamora,Q313785,,residential;tertiary,38
Avenida de Niza,Q33959,,residential;tertiary,7
Avenida de Nuestra Señora de Fátima,Q719524,,tertiary,11
Avenida de Orcasur,Q10341270,,living_street;residential,16
Avenida de Pablo Iglesias,Q450299,,residential;tertiary,48
Avenida de Pablo Neruda,Q34189,,secondary,16
Avenida de Pi i Margall,Q450271,,tertiary,2
Avenida de Pío XII,Q2604,,motorway_link;primary_link;secondary;service;tertiary,32
Avenida de Rafaela Ybarra,Q2636771,,primary;secondary;service,31
Avenida de Ramón y Cajal,Q150526,,secondary,30
Avenida de San Fermín,Q468206,,residential,3
Avenida de San Luis,Q346,,residential;tertiary,25
Avenida de Santo Domingo de la Calzada,Q646564,,residential;tertiary,44
Avenida de Secundino Zuazo,Q3321038,,tertiary,11
Avenida de Trajano,Q1425,,residential,1
Avenida de Valladolid,Q8356,,primary;primary_link;residential,14
Avenida de la Ciudad de Barcelona,Q1492,,construction;primary;residential,47
Avenida de la Gran Vía de Hortaleza,Q1928529,,residential;secondary,24
Avenida de la Reina Victoria,Q160001,,primary;tertiary,25
Avenida de la Villa de Vallecas,Q1947988,,residential,11
Avenida de la Virgen del Carmen,Q1065053,,residential,2
Avenida de las Fuerzas Armadas,Q326991,,residential;tertiary,10
Avenida de las Fuerzas Armadas (lateral),Q326991,,residential,4
Avenida de las Trece Rosas,Q2663099,,tertiary,3
Avenida de los Fueros,Q5870496,,residential,1
Avenida de los Poblados,Q26795575,,primary;primary_link;residential;unclassified,140
Avenida del Cardenal Herrera Oria,Q251711,,residential;secondary;secondary_link;service;steps;tertiary;tertiary_link,160
Avenida del Comandante Franco,Q29179,,residential,3
Avenida del Doctor Federico Rubio y Galí,Q5857841,,residential,6
Avenida del Doctor García Tapia,Q5698437,,motorway_link;primary;secondary;secondary_link;tertiary,38
Avenida del Ingeniero Emilio Herrera,Q3052333,,primary;residential;tertiary;tertiary_link,30
Avenida del Parque de Palomeras Bajas,Q10343902,,residential,7
Avenida del Planetario,Q17622122,,primary,19
Bajos de Argüelles,Q6392595,,pedestrian,3
Bucarest,Q19660,,pedestrian,1
Bulevar Indalecio Prieto,Q433615,,residential,1
Bulevar de Indalecio Prieto,Q433615,,residential;service;tertiary,12
Calle 30,Q2606591,,motorway,14
Calle Abegondo,Q318323,,living_street,3
Calle Abárzuza,Q1636186,,living_street;residential,2
Calle Adrián Pulido,Q28744716,,footway;living_street;residential;steps,5
Calle Aguilar de Campoo,Q398349,,residential,8
Calle Agustín Querol,Q4694649,,residential;service,2
Calle Alabastro,Q143447,,pedestrian,1
Calle Alberche,Q16513,,living_street;pedestrian,2
Calle Alcalde Luis Silvela,Q3266825,,residential,1
Calle Aldea del Fresno,Q607467,,residential,2
Calle Alejandro Ferrant,Q2595467,,residential,2
Calle Alfa,Q9659,,residential,2
Calle Algete,Q472604,,residential,1
Calle Aljarafe,Q1323868,,residential,1
Calle Almadén,Q465085,,pedestrian;residential,3
Calle Almarza,Q828668,,residential,5
Calle Almuradiel,Q1632554,,footway;residential,10
Calle Amaltea,Q107785,,service,1
Calle Amapola,Q146391,,residential,1
Calle Andrés de Urdaneta,Q316780,,residential,1
Calle Antonia Mercé,Q292658,,service,1
Calle Antonio Gades,Q561048,,residential,2
Calle Anunciación,Q154326,,residential,1
Calle Aravaca,Q26203094,,residential;steps,3
Calle Arciniega,Q587131,,footway;pedestrian;residential,7
Calle Arenas del Rey,Q550981,,residential,1
Calle Armando Palacio Valdés,Q645141,,residential,1
Calle Armónica,Q51290,,residential,1
Calle Arpa,Q47369,,residential,1
Calle Artajona,Q1645743,,residential,2
Calle Arte Pop,Q134147,,residential;service,2
Calle Atalaya,Q107168510,,living_street,2
Calle Aviador Franco,Q704616,,residential,1
Calle Balaguer,Q696797,,residential;service,2
Calle Baleares,Q5765,,residential,2
Calle Baños de Montemayor,Q1646296,,residential,1
Calle Baños de Valdearados,Q929461,,living_street;pedestrian,4
Calle Beatriz de Bobadilla,Q20100559,,residential,1
Calle Belmez,Q970766,,residential,1
Calle Benamejí,Q975728,,residential,3
Calle Berenjena,Q24666817,,pedestrian,1
Calle Berlanga de Duero,Q178684,,residential;unclassified,2
Calle Bobby Deglané,Q5730881,,living_street,1
Calle Bohonal,Q1645052,,residential,3
Calle Bolaños,Q1613546,,residential,1
Calle Bolívar,Q8605,,residential,7
Calle Borjas Blancas,Q928006,,residential,2
Calle Botoneras,Q28050982,,pedestrian,2
Calle Bravo,Q9705,,residential,1
Calle Bretón de los Herreros,Q3774440,,residential,1
Calle Bulgaria,Q219,,residential,2
Calle Burgo de Osma,Q485129,,residential,7
Calle Cabo de Creus,Q1034193,,residential,1
Calle Campillo de Arenas,Q780608,,residential,2
Calle Cardeña,Q1645727,,residential,1
Calle Casado del Alisal,Q1403817,,residential,1
Calle Castiello de Jaca,Q784295,,residential,24
Calle Catania,Q1903,,residential,1
Calle Cazorla,Q518339,,residential,1
Calle Cervantes,Q20014008,,living_street,1
Calle Cervera,Q847011,,residential,1
Calle Charlie,Q9820,,residential,2
Calle Chirivel,Q1048769,,residential,1
Calle Cilantro,Q41611,,residential;tertiary,9
Calle Cirauqui,Q206308,,residential,1
Calle Circón,Q178928,,pedestrian;residential,3
Calle Cleopatra,Q4430,,pedestrian,1
Calle Coco Chanel,Q45661,,living_street,1
Calle Concejo de Teverga,Q692118,,residential,2
Calle Conchita Montenegro,Q2991961,,living_street,1
Calle Covaleda,Q829758,,residential,1
Calle Cruz del Sur,Q10542,,construction;residential,9
Calle Cuevas de Almanzora,Q1048762,,pedestrian;residential;service,13
Calle César Manrique,Q581285,,tertiary,7
Calle Daniel Urrabieta,Q627132,,residential,3
Calle Delta,Q9884,,residential,1
Calle Divino Vallés,Q5484026,,residential,4
Calle Doctor Esquerdo,Q9014392,,residential,1
Calle Doctor Ramón Castroviejo,Q4216907,,residential,6
Calle Dresde,Q1731,,residential,1
Calle Echo,Q9907,,residential,2
Calle El Bosco,Q130531,,residential,19
Calle El Padrino,Q47703,,footway;pedestrian;residential,4
Calle Enrique de Aldama,Q11919404,,residential,3
Calle Ercilla,Q357620,,pedestrian,1
Calle Espalter,Q4892844,,residential,5
Calle Espinal,Q476985,,residential,1
Calle Estella,Q646620,,residential,2
Calle Estrella Denébola,Q13015,,residential,2
Calle Estrella Shaula,Q78603928,,residential,1
Calle Federica Montseny,Q549307,,residential,1
Calle Fernández de Navarrete,Q1710465,,residential,1
Calle Foxtrot,Q9765,,residential,1
Calle Fray Ceferino González,Q2712900,,living_street,1
Calle Fray Luis de León,Q450246,,residential,1
Calle Fuente del Berro,Q5643968,,residential,1
Calle Gandhi,Q1001,,residential,3
Calle Garganta de los Montes,Q1752777,,residential,3
Calle General Álvarez de Castro,Q2698525,,tertiary,3
Calle Glasgow,Q4093,,residential,1
Calle Golf,Q9739,,residential,3
Calle Gonzalo Jiménez de Quesada,Q347688,,residential,1
Calle Granito,Q41177,,residential,3
Calle Guadalcazar,Q854460,,residential,1
Calle Guarromán,Q1313369,,residential,1
Calle Guisona,Q984645,,residential,2
Calle Historias de la Radio,Q11682550;Q384397,,footway;residential,3
Calle Hornachos,Q1446441,,residential,2
Calle Hotel,Q9914,,residential,2
Calle Huesa,Q961110,,residential,1
Calle Ibor,Q9071822,,pedestrian;residential,3
Calle Ibros,Q1641651,,residential,1
Calle Imperial,Q26913879,,residential,1
Calle India,Q9893,,residential,1
Calle Infanta Catalina Micaela,Q233187,,residential,2
Calle Isla Malaita,Q641568,,residential,1
Calle José Escobar y Saliente,Q3085231,,residential;secondary,6
Calle José Lázaro Galdiano,Q4888662,,residential,3
Calle José María Morelos,Q378420,,residential,1
Calle José María Roquero,Q110733832,,residential,1
Calle José Miguel Gordoa,Q5943958,,residential,1
Calle Juan Valera,Q463630,,residential;steps,3
Calle Juan de Mena,Q388140,,residential,3
Calle Juliet,Q9773,,service,1
Calle Julio Danvila,,Julio Danvila Rivera,residential,3
Calle Kilo,Q9922,,service,2
Calle La Hiruela,Q1751945,,residential,1
Calle La Serna del Monte,Q584772,,residential,1
Calle Lagartera,Q1631982,,footway;residential,4
Calle Leganés,Q77433,,residential,8
Calle Licenciado Vidriera,Q576188,,residential,1
Calle Lope de Rueda,Q52206,,residential,2
Calle Lorenza Correa,Q1872294,,residential,1
Calle Luces de Bohemia,Q3312512,,residential,1
Calle Luis Paret,Q283412,,residential,1
Calle López de Hoyos,Q3072117,,residential;service;tertiary,8
Calle Maese Nicolás,Q23807432,,residential,1
Calle Magacela,Q1615390,,residential,1
Calle Manuel Bartolomé Cossío,Q5678776,,residential,1
Calle Manuel de Falla,Q193283,,residential,2
Calle Marceliano Santa María,Q5995562,,residential,1
Calle Marie Curie,Q7186,,residential,14
Calle Martos,Q695425,,footway;residential,5
Calle Mayor,Q1149052,,pedestrian;residential;tertiary,12
Calle Mejorada del Campo,Q1984852,,residential,1
Calle Melilla,Q5831,,footway;pedestrian;steps,3
Calle Mestanza,Q1658049,,footway;residential,4
Calle Miguel Fisac,Q3314962,,residential,4
Calle Mike,Q9933,,residential,1
Calle Ministriles,Q20021469,,living_street;pedestrian,2
Calle Mira el Río Alta,Q20021470,,residential,1
Calle Mira el Río Baja,Q20021470,,residential,1
Calle Mojácar,Q496968,,residential,1
Calle Monte de Montjuich,Q1122701,,pedestrian,1
Calle Montiel,Q1610078,,footway;residential,3
Calle Morena Clara,Q22000247,,residential,1
Calle Navaleno,Q516654,,residential,3
Calle Navarra,Q4018,,residential,3
Calle Navarrete,Q916230,,residential,2
Calle Nimes,Q42807,,residential,1
Calle November,Q9937,,residential,13
Calle Núremberg,Q2090,,residential,1
Calle Ochagavia,Q1780242,,residential,4
Calle Padilla de Duero,Q2090529,,residential,1
Calle Padre Llanos,Q9014535,,residential,1
Calle Panamá,Q804,,residential,3
Calle Papa,Q9946,,residential,2
Calle Paravicino,Q648396,,residential,1
Calle Payaso Fofó,Q3645440,,footway;pedestrian;residential,5
Calle Peal,Q1632828,,residential,1
Calle Peñarroya,Q1406749,,pedestrian;residential,12
Calle Piano,Q5994,,living_street,1
Calle Pico Collarada,Q960756,,residential,2
Calle Pico Moncayo,Q2330837,,residential,1
Calle Pico de la Peña Golosa,Q3571460,,residential,1
Calle Picos de Europa,Q1141172,,residential,3
Calle Pinar del Rey,Q10349788,,residential,3
Calle Pobla de Segur,Q17172,,residential,3
Calle Portal de Belén,Q31732,,residential,1
Calle Portugalete,Q548441,,residential,1
Calle Pozohalcón,Q1641619,,residential,1
Calle Pozuelo de Zarzón,Q1630861,,residential,1
Calle Preciados,Q5552155,,pedestrian,2
Calle Profesor Martín Almagro Basch,Q3571486,,living_street;residential,2
Calle Profesor Waksman,Q232308,,residential,3
Calle Puente la Reina,Q372556,,residential,14
Calle Puerto Serrano,Q1630881,,residential,4
Calle Puerto de Béjar,Q1904694,,residential,2
Calle Puerto de la Cruz Verde,Q9064624,,residential,4
Calle Puerto de la Morcuera,Q960162,,residential,2
Calle Quebec,Q9950,,residential,1
Calle Quintanapalla,Q1642726,,residential,2
Calle Quintanavides,Q1751255,,residential;tertiary,10
Calle Regil,Q964114,,residential,1
Calle República Checa,Q213,,pedestrian;residential,4
Calle República Eslovaca,Q214,,residential,2
Calle Reyes Magos,Q51671,,residential,4
Calle Ribera de Curtidores,Q5740938,,residential;tertiary,4
Calle Riga,Q1773,,residential,1
Calle Ruidera,Q1657922,,residential,1
Calle Ruiz de Alarcón,Q356532,,pedestrian;residential,5
Calle Rávena,Q13364,,residential,1
Calle Rímini,Q13369,,residential,1
Calle Río Ulla,Q14548,,residential,2
Calle Sabiote,Q1641690,,residential,1
Calle San Esteban de Gormaz,Q487352,,residential,2
Calle San Martín de Porres,Q313293,,residential,1
Calle Sansón Carrasco,Q6120178,,residential,1
Calle Santa Genoveva,Q235863,,residential;service,4
Calle Santa María Real de Nieva,Q139988,,residential,3
Calle Santiago Bernabéu,Q223156,,residential,1
Calle Santo Domingo de Silos,Q1766072,,residential,1
Calle Sarre,Q1201,,residential,3
Calle Saxofón,Q9798,,living_street,1
Calle Seo de Urgel,Q673412,,residential,4
Calle Sierra de Segura,Q2651720,,residential,1
Calle Somontín,Q1628474,,residential;service,13
Calle Teresita González Quevedo,Q20040146,,pedestrian;residential,2
Calle Tiempos Modernos,Q45602,,residential,1
Calle Tomás Borrás,Q9088237,,residential,1
Calle Torregrosa,Q1765412,,residential,1
Calle Toscana,Q1273,,residential,5
Calle Totana,Q338174,,residential,1
Calle Tristana,Q1321880,,residential,3
Calle Valdemorillo,Q10783,,residential,2
Calle Valldemosa,Q832967,,residential,6
Calle Valle de Ansó,Q6159057,,residential,1
Calle Valle de Cachemira,Q2361576,,residential,4
Calle Valle de Mena,Q1614774,,residential;secondary;secondary_link,22
Calle Valle de Tena,Q3054031,,footway,1
Calle Valle del Baztán,Q641755,,pedestrian;residential,2
Calle Velacho Alto,Q10389572,,residential,1
Calle Velacho Bajo,Q10389572,,residential,1
Calle Vigo,Q8745,,residential,1
Calle Vilches,Q684071,,living_street;residential,9
Calle Villa de Pons,Q742473,,pedestrian;residential,2
Calle Villa de Rota,Q15907,,residential,1
Calle Villa del Prado,Q320398,,residential,1
Calle Villacarrillo,Q1751217,,living_street;pedestrian;residential,7
Calle Viloria de la Rioja,Q956438,,residential,5
Calle Viridiana,Q852841,,footway;residential,6
Calle Vélez Blanco,Q576710,,residential,6
Calle Watteau,Q183221,,residential,1
Calle Zinc,Q758,,pedestrian,2
Calle de Abdón Terradas,Q3753351,,residential;service;steps,3
Calle de Abertura,Q1626839,,footway;living_street;service;steps,6
Calle de Abizanda,Q1656410,,residential,5
Calle de Abtao,Q2984718,,residential,1
Calle de Acebedo,Q26440,,residential,2
Calle de Achuri,Q3752361,,residential,1
Calle de Adolfo Bioy Casares,Q298035,,residential,1
Calle de Adolfo Marsillach,Q2824732,,residential,3
Calle de Ages,Q399630,,residential,3
Calle de Aguilafuente,Q1627434,,residential,7
Calle de Agustina de Aragón,Q718272,,residential,1
Calle de Agustín de Foxá,Q2827365,,residential;tertiary;unclassified,23
Calle de Alameda del Valle,Q1648402,,residential,4
Calle de Albalate del Arzobispo,Q956425,,residential,1
Calle de Albania,Q222,,residential,2
Calle de Albatana,Q559221,,living_street;track,3
Calle de Alberto Aguilera,Q3773729,,primary;residential,19
Calle de Alberto Insúa,Q1311305,,residential,1
Calle de Alberto de Palacio,Q982959,,residential;tertiary,8
Calle de Albuñuelas,Q564780,,residential,1
Calle de Alcalde Conde de Mirasol,Q93124698,,residential,1
Calle de Alcalá,Q2424746,,cycleway;living_street;pedestrian;primary;residential;secondary;tertiary,218
Calle de Alcalá Galiano,Q1626617,,residential,2
Calle de Alcaraz,Q559140,,living_street,1
Calle de Aldaya,Q368431,,living_street,2
Calle de Alejandro Dumas,Q38337,,residential,7
Calle de Alejandro Humboldt,Q6694,,pedestrian;service,2
Calle de Alejandro Saint Aubin,Q11679755,,residential,1
Calle de Alfacar,Q564768,,living_street;track,2
Calle de Alfonso Paso,Q5551905,,residential,1
Calle de Alfonso X,Q47595,,residential,1
Calle de Alfonso XI,Q298808,,residential,3
Calle de Alfonso XII,Q32347,,living_street;secondary;tertiary;tertiary_link,38
Calle de Aliaga,Q771314,,residential,1
Calle de Alicante,Q11959,,residential,3
Calle de Alicún,Q1358253,,residential,3
Calle de Almansa,Q13930,,living_street;residential,6
Calle de Almorox,Q326948,,residential,1
Calle de Alonso Cano,Q378783,,residential,1
Calle de Alozaina,Q1630229,,residential,2
Calle de Altamirano,,"Antonio Torres Altamirano. Fraile trinitario (Madrid, 8-XII-1616 - Salamanca, 4-XI-1685). General en dos ocasiones de los Trinitarios Descalzos. Entre sus obras destacan unos ""Comentarios morales y analógicos sobre el Apocalipsis"".",residential,1
Calle de Altea,Q436491,,pedestrian;residential;steps,4
Calle de Alzola,Q8196902,,residential,1
Calle de Amadeo I,Q32432,,residential,1
Calle de Amaltea,Q107785,,residential,4
Calle de Amaya,Q2840919,,residential,1
Calle de Ambrosio Vallejo,Q64775438,,residential,1
Calle de Ambroz,Q11905294;Q3393309,,residential,1
Calle de Américo Castro,Q482275,,residential,5
Calle de Amós de Escalante,Q5673594,,residential,1
Calle de Ana de Austria,Q156657,,residential,16
Calle de Andalucía,Q5783,,residential,1
Calle de Andrés Borrego,Q5675607,,living_street,1
Calle de Andrés Mellado,Q5675946,,residential,2
Calle de Andrés Torrejón,Q5695435,,residential,3
Calle de Andrés de Urdaneta,Q316780,,residential,1
Calle de Anselmo Lorenzo,Q174770,,residential,4
Calle de Antequera,Q572041,,tertiary,2
Calle de Antonio Gades,Q561048,,residential,19
Calle de Antonio Maura,Q562489,,residential;tertiary,3
Calle de Antonio Nebrija,Q380804,,residential,1
Calle de Antonio Ponz,Q2857411,,residential,1
Calle de Aquiles,Q41746,,residential,1
Calle de Aquitania,Q1179,,tertiary,4
Calle de Aranjuez,Q486792,,residential,3
Calle de Arapiles,Q708580,,residential,8
Calle de Archidona,Q920126,,residential,1
Calle de Arganda,Q497692,,residential;service,15
Calle de Argumosa,Q5740806,,residential,4
Calle de Arlabán,Q44910881,,residential,1
Calle de Armenteros,Q1651814,,residential;service,7
Calle de Arquímedes,Q8739,,residential,1
Calle de Arturo Soria,Q8255504,,primary;primary_link;residential;service,143
Calle de Arzúa,Q651676,,pedestrian;residential,5
Calle de Astorga,Q465078,,residential,2
Calle de Atocha,Q5492657,,residential;tertiary;tertiary_link,35
Calle de Augusto Figueroa,Q16489206,,pedestrian;residential,2
Calle de Austria,Q40,,residential,1
Calle de Ayala,Q354137,,residential,8
Calle de Azagra,Q1757486,,residential,1
Calle de Azuaga,Q1368982,,residential,3
Calle de Añastro,Q10751118,,residential,2
Calle de Bacares,Q1157977,,residential,6
Calle de Bailén,Q1364346,,footway;living_street;residential;secondary;secondary_link,33
Calle de Baltasar Gracián,Q360512,,residential,2
Calle de Balvina Valverde,Q5717120,,residential,2
Calle de Barbastro,Q502975,,residential,1
Calle de Barcelona,Q27048338,,pedestrian,1
Calle de Barranca,Q2476592,,residential,1
Calle de Batres,Q1647095,,residential,1
Calle de Beasain,Q847130,,residential,1
Calle de Beatriz Galindo,Q1708316,,residential,3
Calle de Beire,Q814864,,residential,1
Calle de Benito Gutiérrez,Q21872966,,residential,2
Calle de Bercial,Q1904737,,residential;steps,2
Calle de Berdún,Q8246625,,residential,3
Calle de Berilo,Q103480,,pedestrian,1
Calle de Bernardino de Pantorba,Q17187077,,residential,2
Calle de Berástegui,Q1639406,,residential,2
Calle de Betancunia,Q830969,,residential,1
Calle de Biosca,Q1901345,,pedestrian;residential,5
Calle de Blasco de Garay,Q881771,,residential,3
Calle de Boadilla del Camino,Q592699,,residential,1
Calle de Boltaña,Q891622,,residential,3
Calle de Bordadores,Q24656602,,living_street;residential,2
Calle de Borgoña,Q1173,,residential,1
Calle de Bravo Murillo,Q200476,,footway;living_street;residential;secondary;service,86
Calle de Bretaña,Q327,,pedestrian;residential,2
Calle de Briviesca,Q1391501,,residential,5
Calle de Bucarest,Q19660,,residential,4
Calle de Budapest,Q1781,,pedestrian;residential,4
Calle de Buitrago de Lozoya,Q1648730,,residential,1
Calle de Burguete,Q5431,,residential,6
Calle de Bélgica,Q31,,pedestrian;residential,5
Calle de Cabanillas de la Sierra,Q1772200,,residential,1
Calle de Calabria,Q1458,,residential,3
Calle de Calasparra,Q1313139,,residential,3
Calle de Caleruega,Q848172,,residential;service,16
Calle de Campotéjar,Q253744,,living_street;residential,7
Calle de Candilejas,Q584509,,residential;tertiary,11
Calle de Caolín,Q908663,,pedestrian,1
Calle de Capri,Q173292,,residential,1
Calle de Carabaña,Q664618,,residential,1
Calle de Caracas,Q1533,,residential,1
Calle de Cardeñuela Riopico,Q946310,,residential,1
Calle de Carlos Arniches,Q1042706,,residential,1
Calle de Carlos II,Q36174,,residential,1
Calle de Carlos III,Q36234,,pedestrian,1
Calle de Carlos Latorre,Q5750704,,residential,1
